Year,quarter,ukos,mode,country,purpose,package,Age,Sex,duration,visits,nights,spend,sample
"2,019",2,1,1,12,4,1,4,1,1,"1,547.798","4,643.394","61,911.920",1
"2,019",2,1,1,12,4,1,4,1,3,"7,992.675","121,787.015","1,298,962.540",2
"2,019",2,1,1,12,4,1,4,2,2,"8,446.798","79,770.186","2,997,272.155",4
"2,019",2,1,1,12,4,1,4,2,3,"2,190.782","30,670.948","2,190,782.000",1
"2,019",2,1,1,12,4,1,5,1,2,"4,746.687","30,305.785","2,079,415.437",2
"2,019",2,1,1,12,4,1,5,1,3,"2,334.464","46,689.280","466,892.800",1
"2,019",2,1,1,12,4,1,6,1,2,"2,136.545","10,682.725","799,067.830",1
"2,019",2,1,1,12,4,1,9,#NULL!,2,"4,386.911","39,482.199","2,070,621.992",1
"2,019",2,1,1,12,4,1,9,1,1,"1,825.663","5,476.989","454,590.087",1
"2,019",2,1,1,12,4,1,9,1,2,"1,825.663","9,128.315","682,797.962",1
"2,019",2,1,1,12,4,2,4,1,2,"1,825.663","12,779.641","6,170,740.940",1
"2,019",2,1,1,13,1,1,2,1,2,"1,825.663","12,779.641","912,831.500",1
"2,019",2,1,1,13,1,1,2,2,2,"4,799.267","33,594.869","5,965,488.881",1
"2,019",2,1,1,13,1,1,3,1,2,"3,676.214","36,762.140","4,172,586.000",2
"2,019",2,1,1,13,1,1,3,2,1,"2,136.545","6,409.635","299,116.300",1
"2,019",2,1,1,13,1,1,3,2,2,"5,248.851","33,204.700","5,328,755.200",3
"2,019",2,1,1,13,1,1,4,1,2,388.166,"2,717.162","388,166.000",1
"2,019",2,1,1,13,1,1,4,2,2,"11,252.471","62,363.831","4,145,320.725",5
"2,019",2,1,1,13,1,1,5,1,2,"13,856.288","87,017.852","4,696,380.093",5
"2,019",2,1,1,13,1,1,5,2,1,"4,799.267","14,397.801","359,945.025",1
"2,019",2,1,1,13,1,1,5,2,2,"2,881.015","17,286.090","345,721.800",1
"2,019",2,1,1,13,1,1,6,1,2,"6,141.002","33,388.480","1,782,855.612",2
"2,019",2,1,1,13,1,1,6,2,1,"2,881.015","8,643.045","720,253.750",1
"2,019",2,1,1,13,1,1,6,2,2,"5,057.963","30,493.159","2,072,599.595",3
"2,019",2,1,1,13,1,1,7,2,2,"2,588.937","18,122.559","1,294,468.500",1
"2,019",2,1,1,13,1,1,9,#NULL!,2,"1,547.798","6,191.192","535,538.108",1
"2,019",2,1,1,13,1,1,9,2,2,"2,881.015","20,167.105","1,593,201.295",1
"2,019",2,1,1,13,1,2,1,2,2,"1,711.594","8,557.970","888,317.286",1
"2,019",2,1,1,13,1,2,2,1,2,"6,259.619","51,079.815","5,175,583.236",4
"2,019",2,1,1,13,1,2,3,1,2,"7,709.104","30,836.416","5,496,591.152",1
"2,019",2,1,1,13,1,2,3,2,2,"15,035.523","79,147.728","9,608,473.582",5
"2,019",2,1,1,13,1,2,4,1,2,"8,553.550","63,084.085","5,642,192.453",5
"2,019",2,1,1,13,1,2,4,2,2,"7,016.533","49,115.731","6,646,962.541",3
"2,019",2,1,1,13,1,2,5,1,2,"4,995.137","38,175.194","2,719,872.858",3
"2,019",2,1,1,13,1,2,5,2,2,"7,984.874","46,486.246","4,411,667.249",4
"2,019",2,1,1,13,1,2,6,1,2,"4,300.531","24,968.935","1,475,352.771",2
"2,019",2,1,1,13,1,2,6,1,3,"1,069.745","14,976.430","642,916.745",1
"2,019",2,1,1,13,1,2,6,2,2,"4,767.803","33,374.621","2,985,947.440",3
"2,019",2,1,1,13,1,2,7,1,2,"6,289.940","44,029.580","9,694,645.690",4
"2,019",2,1,1,13,1,2,7,1,3,"2,139.490","29,952.860","2,266,789.655",2
"2,019",2,1,1,13,1,2,7,2,2,"13,270.553","98,028.653","16,309,771.283",4
"2,019",2,1,1,13,1,2,7,2,3,"1,069.745","14,976.430","1,158,533.835",1
"2,019",2,1,1,13,1,2,9,1,2,"4,679.369","32,755.583","3,551,641.071",1
"2,019",2,1,1,13,2,1,5,1,1,389.002,"1,167.006","233,401.200",1
"2,019",2,1,1,13,2,2,4,1,1,"4,799.267","9,598.534","1,362,991.828",1
"2,019",2,1,1,13,2,2,5,1,2,"1,547.798","10,834.586","1,171,683.086",1
"2,019",2,1,1,13,4,1,2,1,4,"2,334.479","77,037.807","2,388,172.017",1
"2,019",2,1,1,13,4,1,4,1,2,"2,020.316","8,081.264","606,094.800",1
"2,019",2,1,1,13,4,1,9,1,1,"2,881.015","8,643.045","962,259.010",1
"2,019",2,1,1,13,4,1,9,1,2,"1,825.663","12,779.641","1,217,717.221",1
"2,019",2,1,1,13,4,2,3,1,2,"1,341.735","5,366.940","559,503.495",1
"2,019",2,1,1,13,4,2,9,2,2,"1,460.485","7,302.425","730,242.500",1
"2,019",2,1,1,14,1,1,2,1,1,"6,347.065","19,041.195","2,043,421.320",2
"2,019",2,1,1,14,1,1,2,1,2,"7,967.619","45,080.422","3,118,013.546",3
"2,019",2,1,1,14,1,1,2,1,3,"5,848.998","93,583.968","1,754,699.400",1
"2,019",2,1,1,14,1,1,2,2,2,"4,386.911","17,547.644","877,382.200",1
"2,019",2,1,1,14,1,1,3,1,1,"16,402.978","40,536.088","6,057,367.267",5
"2,019",2,1,1,14,1,1,3,1,2,"7,967.619","39,239.162","3,562,192.864",3
"2,019",2,1,1,14,1,1,4,1,1,"1,547.798","4,643.394","681,031.120",1
"2,019",2,1,1,14,1,1,4,1,2,"1,060.037","4,240.148","307,410.730",1
"2,019",2,1,1,14,1,1,4,2,2,"1,547.798","6,191.192","681,031.120",1
"2,019",2,1,1,14,1,1,5,1,1,"1,150.252","3,450.756","404,888.704",1
"2,019",2,1,1,14,1,1,5,1,2,"7,085.960","33,882.002","3,648,421.630",2
"2,019",2,1,1,14,1,1,5,2,2,"2,588.937","10,355.748","1,165,021.650",1
"2,019",2,1,1,14,1,1,6,1,1,"2,300.504","6,901.512","977,714.200",2
"2,019",2,1,1,14,1,1,6,1,2,"1,547.798","6,191.192","448,861.420",1
"2,019",2,1,1,14,1,1,7,1,3,648.048,"9,072.672","1,296,096.000",1
"2,019",2,1,1,14,1,1,7,2,2,"4,799.267","19,197.068","1,919,706.800",1
"2,019",2,1,1,14,1,1,9,1,1,"2,136.545","6,409.635","752,063.840",1
"2,019",2,1,1,14,1,1,9,1,2,"7,351.724","36,758.620","3,881,710.272",1
"2,019",2,1,1,14,1,2,2,1,2,"1,150.252","4,601.008","1,028,325.288",1
"2,019",2,1,1,14,1,2,2,2,2,"5,119.215","20,476.860","3,337,728.180",1
"2,019",2,1,1,14,1,2,3,1,1,"1,639.328","4,917.984","444,972.556",2
"2,019",2,1,1,14,1,2,3,1,2,"2,136.545","8,546.180","1,841,701.790",1
"2,019",2,1,1,14,1,2,3,2,1,"2,588.937","7,766.811","33,656.181",1
"2,019",2,1,1,14,1,2,4,1,1,"4,799.267","14,397.801","1,742,133.921",1
"2,019",2,1,1,14,1,2,4,1,2,"1,150.252","5,751.260","661,394.900",1
"2,019",2,1,1,14,1,2,4,2,1,"6,815.914","15,768.373","2,669,304.882",2
"2,019",2,1,1,14,1,2,5,1,1,"2,593.309","7,779.927","1,708,990.631",1
